id,screen_name,lang,followers_count_log,friends_count_log,statuses_count_log,favourites_count_log,listed_count_log
219618548,saintwukong,es,3.0557604646877348,2.791690649020118,4.0682600937746995,3.1119342763326814,2.4216039268698313
2205559141,4YFN_MWC,en-gb,4.176583180765493,3.846955325019824,3.9434945159061026,3.2140486794119414,2.7331972651065692
220996300,KostjaKlein,de,3.0342272607705505,2.658964842664435,3.5499836111596887,2.439332693830263,2.0791812460476247
222099372,conciti,es,3.527887565952705,3.507855871695831,4.201424437579911,3.2427898094786767,2.3242824552976926
2223910772,WizardDBA,pt,2.298853076409707,2.4871383754771865,2.8998205024270964,2.569373909615046,1.2304489213782739
224340527,pablovargan,es,2.6180480967120925,2.510545010206612,3.86787978345838,3.0707764628434346,1.4313637641589874
22440176,DerekComingore,en,2.61066016308988,2.45178643552429,2.9339931638312424,1.968482948553935,1.7634279935629373
22674817,benhamner,en,3.9125408827906374,3.3919930722597127,3.3656751404559175,3.5796692935547205,2.625312450961674
22696323,_Juankar_,es,3.052693941924968,2.629409599102719,4.849529969747577,2.832508912706236,2.12057393120585
227439753,TechMike2kX,en,3.484299839346786,3.51067903103221,4.683542319957651,3.6290016192869916,2.775974331129369
227829587,MSPowerBI,en,4.850738107231197,2.640481436970422,3.7162538258960365,2.838849090737255,3.217220655644519
2293409221,Gwab_Es,es,2.6263403673750423,2.7535830588929064,2.57978359661681,1.2787536009528289,1.2041199826559248
229789098,CarminaBH,en,2.0530784434834195,1.7323937598229686,2.8228216453031045,0.7781512503836436,1.1139433523068367
231123237,marcreguera,en,2.8992731873176036,2.5415792439465807,3.3836358683618797,1.4771212547196624,2.0170333392987803
231745375,paubustillo,es,2.482873583608754,2.6242820958356683,3.0043213737826426,1.0413926851582251,1.2041199826559248
231757256,mllorcag,es,2.595496221825574,2.6127838567197355,3.40705081480425,2.561101383649056,2
23242773,jenstirrup,en,3.9769915453061504,3.536179532137225,4.71610355387604,2.958085848521085,3.110589710299249
233631354,AudienseCo,en,5.30592288596722,4.867443916284137,4.342915917084086,3.6182573448404014,3.6775157047987577
235710855,MilosSQL,de,2.873320601815399,2.7701152947871015,3.9455178220778397,4.286478924930768,1.724275869600789
237201856,CoffeeCoachingE,es,2.791690649020118,2.399673721481038,3.562887381293879,1.863322860120456,1.414973347970818
239289175,catdotnet,es,2.6503075231319366,1.8692317197309762,2.640481436970422,1.1139433523068367,1.3979400086720377
240722531,EldarSilver,es,3.0515383905153275,3.282848602834645,3.7790189719148706,1.591064607026499,2.303196057420489
2429198398,fgonzalezcarrio,es,1.8325089127062364,2.230448921378274,0,0.3010299956639812,0.47712125471966244
2447660408,sqlsatbarcelona,en,1.9138138523837167,2.2068258760318495,2.123851640967086,1,0.9542425094393249
24531862,gavinrr,en,2.3138672203691533,2.041392685158225,3.04688519083771,0,1.1139433523068367
2457955512,_unaizc_,en,2.960946195733831,1.9590413923210936,3.3142886609474975,1.3979400086720377,2.0293837776852097
2463418970,msftBIstudies,en,3.2095150145426308,3.1740598077250253,1.6127838567197355,3.800854491503561,1.968482948553935
246862164,xatakandroid,es,5.228556902373814,1.3222192947339193,4.495946532723614,0.47712125471966244,3.6180480967120925
24741685,MSFTnews,en,5.94374077711196,3.2667019668840878,4.290301787305674,0.6989700043360189,4.195041280556656
2485229282,josephsirosh,en,3.760497875226527,2.530199698203082,3.036628895362161,2.428134794028789,2.6148972160331345
25059632,kremers78,en,2.2041199826559246,2.6314437690131722,2.926856708949692,0.3010299956639812,0.6020599913279624
